,Age,Total,Male,Female,Unknown,Year
0,18 THRU 19,6991,3373,3546,72,2012
1,20_,5953,2905,2986,62,2012
2,21_,8215,4037,4068,110,2012
3,22 THRU 24,26829,12940,13481,408,2012
4,25 THRU 34,100824,49790,49937,1097,2012
5,35 THRU 44,88392,44870,42972,550,2012
6,45 THRU 54,99976,50699,48789,488,2012
7,55 THRU 59,49738,25320,24218,200,2012
8,60 THRU 61,17016,8914,8027,75,2012
9,62 THRU 64,22106,11732,10284,90,2012
10,65 THRU 74,40358,21201,19012,145,2012
11,ABOVE 75,19878,9245,10575,58,2012
12,UNKNOWN,675,342,291,42,2012
13,TOTAL,486951,245368,238186,3397,2012
14,18 THRU 19,6916,3421,3410,85,2014
15,20_,5985,2915,2995,75,2014
16,21_,7351,3635,3658,58,2014
17,22 THRU 24,26715,13204,13261,250,2014
18,25 THRU 34,101737,50301,50527,909,2014
19,35 THRU 44,87418,44440,42558,420,2014
20,45 THRU 54,93403,47594,45451,358,2014
21,55 THRU 59,49729,25067,24479,183,2014
22,60 THRU 61,18305,9552,8702,51,2014
23,62 THRU 64,23488,12337,11085,66,2014
24,65 THRU 74,46358,24361,21858,139,2014
25,ABOVE 75,21243,10057,11128,58,2014
26,UNKNOWN,484,252,196,36,2014
27,TOTAL,489132,247136,239308,2688,2014
28,18 THRU 19,7678,3716,3698,264,2016
29,20_,6392,3106,3016,270,2016
30,21_,7421,3673,3561,187,2016
31,22 THRU 24,26480,12964,13031,485,2016
32,25 THRU 34,106597,52894,52426,1277,2016
33,35 THRU 44,90175,45828,43821,526,2016
34,45 THRU 54,90955,46371,44157,427,2016
35,55 THRU 59,49674,24959,24506,209,2016
36,60 THRU 61,19091,9667,9355,69,2016
37,62 THRU 64,25820,13366,12364,90,2016
38,65 THRU 74,52876,27849,24881,146,2016
39,ABOVE 75,23356,11147,12148,61,2016
40,UNKNOWN,445,222,193,30,2016
41,TOTAL,506960,255762,247157,4041,2016
42,18 THRU 19,10336,5231,5043,62,2018
43,20_,8554,4387,4147,20,2018
44,21_,9320,4760,4543,17,2018
45,22 THRU 24,29276,14893,14275,108,2018
46,25 THRU 34,120406,60706,59330,370,2018
47,35 THRU 44,107755,55529,52024,202,2018
48,45 THRU 54,88920,45804,42997,119,2018
49,55 THRU 59,49969,25749,24154,66,2018
50,60 THRU 61,19886,10182,9683,21,2018
51,62 THRU 64,28605,14490,14075,40,2018
52,65 THRU 74,67514,35119,32312,83,2018
53,ABOVE 75,31207,15129,16041,37,2018
54,UNKNOWN,169,90,63,16,2018
55,TOTAL,571917,292069,278687,1161,2018
56,18 THRU 19,9179,4600,4527,52,2020
57,20_,8714,4443,4262,9,2020
58,21_,9574,4998,4572,4,2020
59,22 THRU 24,30378,15672,14660,46,2020
60,25 THRU 34,121108,61243,59672,193,2020
61,35 THRU 44,115605,59741,55732,132,2020
62,45 THRU 54,88272,45653,42538,81,2020
63,55 THRU 59,46696,24078,22585,33,2020
64,60 THRU 61,19958,10240,9700,18,2020
65,62 THRU 64,28754,14764,13961,29,2020
66,65 THRU 74,72978,37464,35461,53,2020
67,ABOVE 75,34963,17043,17896,24,2020
68,UNKNOWN,66,38,22,6,2020
69,TOTAL,586245,299977,285588,680,2020
