,Year,Age,Pre or Post,Male,Female,Unknown
0,2016,UNKNOWN DOB,Registered,306,227,35
1,2016,UNKNOWN DOB,Voted,106,82,5
2,2016,18 THRU 19,Registered,5147,5270,100
3,2016,18 THRU 19,Voted,2889,3116,55
4,2016,20,Registered,3473,3360,240
5,2016,20,Voted,1464,1619,44
6,2016,21,Registered,3837,3777,211
7,2016,21,Voted,1574,1793,31
8,2016,22 THRU 24,Registered,13721,13755,466
9,2016,22 THRU 24,Voted,5170,6017,87
10,2016,25 THRU 34,Registered,57079,56230,1190
11,2016,25 THRU 34,Voted,25244,28796,278
12,2016,35 THRU 44,Registered,48661,46267,522
13,2016,35 THRU 44,Voted,26508,28064,144
14,2016,45 THRU 54,Registered,47258,44840,411
15,2016,45 THRU 54,Voted,29830,30132,157
16,2016,55 THRU 59,Registered,25519,24912,191
17,2016,55 THRU 59,Voted,17653,17973,73
18,2016,60 THRU 61,Registered,9774,9567,70
19,2016,60 THRU 61,Voted,7082,7094,26
20,2016,62 THRU 64,Registered,13924,12960,87
21,2016,62 THRU 64,Voted,10145,9653,35
22,2016,65 THRU 74,Registered,29240,26291,142
23,2016,65 THRU 74,Voted,21884,19913,64
24,2016,ABOVE 75,Registered,11728,12734,61
25,2016,ABOVE 75,Voted,8406,8692,24
26,2016,TOTALS,Registered,269667,260190,3726
27,2016,TOTALS,Voted,157955,162944,1023
28,2018,UNKNOWN DOB,Registered,136,105,28
29,2018,UNKNOWN DOB,Voted,31,24,1
30,2018,18 THRU 19,Registered,5710,5604,93
31,2018,18 THRU 19,Voted,1962,2210,33
32,2018,20,Registered,4162,4127,33
33,2018,20,Voted,1127,1297,7
34,2018,21,Registered,4482,4347,23
35,2018,21,Voted,1144,1336,5
36,2018,22 THRU 24,Registered,15029,14402,315
37,2018,22 THRU 24,Voted,3687,4491,14
38,2018,25 THRU 34,Registered,61960,60218,740
39,2018,25 THRU 34,Voted,19563,23038,75
40,2018,35 THRU 44,Registered,54684,51109,320
41,2018,35 THRU 44,Voted,23478,24815,50
42,2018,45 THRU 54,Registered,47784,44605,215
43,2018,45 THRU 54,Voted,24934,25442,41
44,2018,55 THRU 59,Registered,26906,25242,104
45,2018,55 THRU 59,Voted,16066,15782,34
46,2018,60 THRU 61,Registered,10336,10007,48
47,2018,60 THRU 61,Voted,6481,6517,11
48,2018,62 THRU 64,Registered,14682,14159,46
49,2018,62 THRU 64,Voted,9687,9471,8
50,2018,65 THRU 74,Registered,33639,30485,106
51,2018,65 THRU 74,Voted,23106,21144,25
52,2018,ABOVE 75,Registered,14028,15021,40
53,2018,ABOVE 75,Voted,9367,9450,11
54,2018,TOTALS,Registered,293538,279431,2111
55,2018,TOTALS,Voted,140633,145017,315
56,2020,UNKNOWN DOB,Registered,114,107,8
57,2020,UNKNOWN DOB,Voted,32,22,1
58,2020,18 THRU 19,Registered,7054,6922,33
59,2020,18 THRU 19,Voted,3708,4205,18
60,2020,20,Registered,4779,4430,11
61,2020,20,Voted,2006,2131,0
62,2020,21,Registered,4949,4598,14
63,2020,21,Voted,1956,2199,5
64,2020,22 THRU 24,Registered,15854,15004,81
65,2020,22 THRU 24,Voted,6006,6667,19
66,2020,25 THRU 34,Registered,63908,61966,307
67,2020,25 THRU 34,Voted,27701,31214,59
68,2020,35 THRU 44,Registered,59303,55256,179
69,2020,35 THRU 44,Voted,32681,33422,34
70,2020,45 THRU 54,Registered,46755,43711,97
71,2020,45 THRU 54,Voted,28800,29154,23
72,2020,55 THRU 59,Registered,25833,24140,55
73,2020,55 THRU 59,Voted,17332,17097,10
74,2020,60 THRU 61,Registered,10439,9764,17
75,2020,60 THRU 61,Voted,7307,7200,7
76,2020,62 THRU 64,Registered,14851,14349,38
77,2020,62 THRU 64,Voted,10691,10697,14
78,2020,65 THRU 74,Registered,36589,33904,62
79,2020,65 THRU 74,Voted,27912,26300,17
80,2020,ABOVE 75,Registered,15842,16755,29
81,2020,ABOVE 75,Voted,11779,11774,11
82,2020,TOTALS,Registered,306270,290906,931
83,2020,TOTALS,Voted,177911,182082,218
